RecNo.,Time,Pressure1,Pressure2,Temp.1,Temp.2,Temp. 3,Temp. 4
No.   ,sec,kgf/§²,kgf/§²,¡É,¡É,¡É,¡É
         1,        60,     35.05,      0.00,    142.20,      0.00,      0.00,      0.00
         2,       120,     35.04,      0.00,    142.40,      0.00,      0.00,      0.00
         3,       180,     35.06,      0.00,    142.30,      0.00,      0.00,      0.00
         4,       240,     35.07,      0.00,    142.20,      0.00,      0.00,      0.00
         5,       300,     35.05,      0.00,    142.40,      0.00,      0.00,      0.00
         6,       360,     35.05,      0.00,    142.40,      0.00,      0.00,      0.00
         7,       420,     35.04,      0.00,    142.20,      0.00,      0.00,      0.00
         8,       480,     35.02,      0.00,    142.20,      0.00,      0.00,      0.00
         9,       540,     35.06,      0.00,    142.30,      0.00,      0.00,      0.00
        10,       600,     35.06,      0.00,    142.20,      0.00,      0.00,      0.00
        11,       660,     35.06,      0.00,    142.30,      0.00,      0.00,      0.00
        12,       720,     35.06,      0.00,    142.10,      0.00,      0.00,      0.00
        13,       780,     35.04,      0.00,    142.00,      0.00,      0.00,      0.00
        14,       840,     35.04,      0.00,    141.90,      0.00,      0.00,      0.00
        15,       900,     35.04,      0.00,    141.70,      0.00,      0.00,      0.00
        16,       960,     35.04,      0.00,    141.30,      0.00,      0.00,      0.00
        17,      1020,     35.04,      0.00,    141.20,      0.00,      0.00,      0.00
        18,      1080,     35.02,      0.00,    141.00,      0.00,      0.00,      0.00
        19,      1140,     35.02,      0.00,    141.00,      0.00,      0.00,      0.00
        20,      1200,     35.01,      0.00,    141.00,      0.00,      0.00,      0.00
        21,      1260,     35.01,      0.00,    140.90,      0.00,      0.00,      0.00
        22,      1320,     35.01,      0.00,    140.80,      0.00,      0.00,      0.00
        23,      1380,     35.00,      0.00,    140.60,      0.00,      0.00,      0.00
        24,      1440,     35.01,      0.00,    140.40,      0.00,      0.00,      0.00
        25,      1500,     34.99,      0.00,    140.10,      0.00,      0.00,      0.00
        26,      1560,     34.98,      0.00,    139.80,      0.00,      0.00,      0.00
        27,      1620,     34.98,      0.00,    139.70,      0.00,      0.00,      0.00
        28,      1680,     34.97,      0.00,    139.50,      0.00,      0.00,      0.00
        29,      1740,     34.99,      0.00,    139.40,      0.00,      0.00,      0.00
        30,      1800,     34.96,      0.00,    139.30,      0.00,      0.00,      0.00
        31,      1860,     34.97,      0.00,    139.10,      0.00,      0.00,      0.00
        32,      1920,     34.96,      0.00,    138.70,      0.00,      0.00,      0.00
        33,      1980,     34.97,      0.00,    138.60,      0.00,      0.00,      0.00
        34,      2040,     34.95,      0.00,    138.50,      0.00,      0.00,      0.00
        35,      2100,     34.95,      0.00,    138.20,      0.00,      0.00,      0.00
        36,      2160,     34.94,      0.00,    138.10,      0.00,      0.00,      0.00
        37,      2220,     34.94,      0.00,    137.90,      0.00,      0.00,      0.00
        38,      2280,     34.92,      0.00,    137.70,      0.00,      0.00,      0.00
        39,      2340,     34.91,      0.00,    137.30,      0.00,      0.00,      0.00
        40,      2400,     34.92,      0.00,    137.30,      0.00,      0.00,      0.00
        41,      2460,     34.90,      0.00,    137.20,      0.00,      0.00,      0.00
        42,      2520,     34.91,      0.00,    137.00,      0.00,      0.00,      0.00
        43,      2580,     34.89,      0.00,    136.70,      0.00,      0.00,      0.00
        44,      2640,     34.89,      0.00,    136.50,      0.00,      0.00,      0.00
        45,      2700,     34.88,      0.00,    136.40,      0.00,      0.00,      0.00
        46,      2760,     34.88,      0.00,    136.20,      0.00,      0.00,      0.00
        47,      2820,     34.87,      0.00,    135.90,      0.00,      0.00,      0.00
        48,      2880,     34.88,      0.00,    135.60,      0.00,      0.00,      0.00
        49,      2940,     34.87,      0.00,    135.50,      0.00,      0.00,      0.00
        50,      3000,     34.86,      0.00,    135.00,      0.00,      0.00,      0.00
        51,      3060,     34.84,      0.00,    134.80,      0.00,      0.00,      0.00
